Unnamed: 0,RecordID,RID,Squib,ReactionOrder,Pre-Exp Factor Coeff,Pre-Exp Factor Power,Activation Energy,Reactant 1,Reactant 2,Reactant 3,Product 1,Product 2,Product 3,Temperature,Reaction Order
7,9.0,9.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=16FDF634B3C9D214EBCCD926E154DBF2?id=2007BRU/JOD194-200:15,1.0,4.71,15,-186078,CBr3OCl,,,[None],[None],,200,1.0
9,20.0,20.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=7B4C90F1AE0B1515C9EEE9F960B6BA95?id=2003TOK/LIN11397-11408:9,1.0,2.47,13,-13012,[None],,,[None],,,250,1.0
10,26.0,26.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=C2DD72D82107BC626A6F2C75CC47AC69?id=2002PAR/NEL313-319:2,1.0,4.4,15,-81149,Al(CH3)Al(CH3)2,,,Al(CH3)3,[None],,296,1.0
18,41.0,39.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=17297ACE3445329B1B858AEB17B2DDF0?id=2003DRO/KOS297-304:1,1.0,5.31,-12,-4141,CH3CHBrO(.),,,CH3CHO,[None],,250,1.0
19,46.0,44.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=A1FA58A50BA6AA7852B9498F9F9FAD7D?id=2003TOK/LIN11397-11408:15,1.0,1.16,12,-129118,[None],,,[None],,,250,1.0
20,47.0,45.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=FEA923D385045080F0F7D30240D6555F?id=2003TOK/LIN11397-11408:11,1.0,1.27,13,-74517,[None],,,[None],,,250,1.0
28,58.0,52.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=D5F83D147DB9EFCC9EE2B88E541FF793?id=2013DAV/SAR7670-7685:47,1.0,1.84,9,-225099,['C(CC#CC)=O'],,,['CC=1OC=CC1'],,,300,1.0
29,60.0,54.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=9033E0D3BFAC12AB138D5B98D6712723?id=2001LIN/MAU409-432:8,1.0,1,10,,C6H4(C2H)C2H2(.),,,[None],,,900,1.0
35,67.0,60.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=9014924BB4EA593E1BA6BDB9ECC2BDF6?id=1994MAR/ASC585-590:3,1.0,3.31,12,-162964,CH2=CHCH2NHSC(CH3)3,,,[None],['C=C(C)C'],,583,1.0
39,74.0,67.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=90267CACBC8721864BE41A14309BC176?id=1991YAR/PEN7330-7337:5,1.0,2.1,-1,,ClCH=CHOO(.),,,(CHO)2,[None],,"296
 
K",1.0
42,81.0,74.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=F68B6589D64CD6EBC745B05F1AC91FAF?id=1993DEV/ZAS185-189:3,2.0,3.06,-2,-167952,CH3CH2Te,,,(.)C2H5,[None],,900,2.0
43,82.0,74.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=F68B6589D64CD6EBC745B05F1AC91FAF?id=1993DEV/ZAS185-189:2,1.0,8,14,-167952,CH3CH2Te,,,(.)C2H5,[None],,900,1.0
44,83.0,75.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=5DA1D910BBB45041970C18B9612265E8?id=1995RUS/DAV3717-3723:4,1.0,3.16,14,-149660,[None],[None],,[None],[None],,523,1.0
45,84.0,76.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=927015A115DA55D1E3452C9C18A930F3?id=1995ZAC/TSA5308-5318:34,1.0,3.07,20,-191233,['O1[Si]O[Si]O[Si]O[Si]1'],,,SiO,[None],,1000,1.0
46,85.0,77.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=F0A7DA635E3FD6501BEADFABD8E2E50C?id=2013DAM/WAN307-314:4,1.0,6.87,13,-189911,[None],,,[None],,,298,1.0
49,90.0,81.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=AD87783E4A6D7F90E6EA13A0CFA8D92D?id=2010SIN/MIS57-64:2,1.0,1.1,8,,CF3CCl2O(.),,,CF3COCl,[None],,"298
 
K",1.0
51,92.0,83.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=947DAE348DFF01A3767D3E25CDC04F18?id=2009SIN/MIS1096-1101:2,1.0,4.6,5,,CF3CFClO(.),,,CF3COF,[None],,"298
 
K",1.0
61,104.0,92.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=7BEFB15370874746FA3FF809DC5AE5B6?id=1962TAY/SMI4817-4824:24,1.0,8.34,12,-187076,['C(C)(=O)OC(C1=CC(=CC=C1)F)C'],,,CH3C(O)OH,['C(=C)C1=CC(=CC=C1)F'],,599,1.0
93,146.0,111.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=4BC87D5D58BF2B3C9E8C9275BFA28AB8?id=2003CAV/GUP2818-2827:1,1.0,1.5,14,-112245,[None],,,CH2=CHSi(CH3)3,[None],,423,1.0
94,147.0,111.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=4BC87D5D58BF2B3C9E8C9275BFA28AB8?id=2003CAV/GUP2818-2827:2,1.0,4.8,18,-139683,[None],,,CH2=CHSi(CH3)3,[None],,423,1.0
95,148.0,111.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=4BC87D5D58BF2B3C9E8C9275BFA28AB8?id=2003CAV/GUP2818-2827:3,1.0,2.9,16,-139683,[None],,,CH2=CHSi(CH3)3,[None],,423,1.0
98,153.0,116.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=0954413FEEEBE3A89717DB4EEE0141CF?id=1992HOP/WAC711-721:3,1.0,3.16,10,-149660,CH2=C=CHCH(CH3)CH=CH2,,,[None],['CC1=CCC(C1)=C'],,493,1.0
99,154.0,117.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=A274B1B27949BC30C729230B3CF012FA?id=1991MAR/ASC579-585:4,1.0,6.31,10,-144672,[None],,,['C=C(C)C'],['FC1=CC=C(C=C1)SS'],,673,1.0
100,155.0,118.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=7AAFFDE9EEACD75DD20966A4DC4B2C57?id=1991MAR/ASC579-585:3,1.0,2.88,-13,-184581,[None],,,['C=C(C)C'],['[N+](=O)([O-])C1=CC=C(C=C1)SS'],,693,1.0
101,157.0,120.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=C1CC93C24CF4443CC51AA970DF6F1357?id=1996GAJ/OLS299-306:2,1.0,1.43,-5,,[None],,,[None],,,"563
 
K",1.0
113,186.0,135.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=952A45CEF6C3BE98CBBB901DF2009BE6?id=1991ROT/RUH2047-2051:2,1.0,2.95,10,-27188,[None],,,[None],,,423,1.0
120,196.0,142.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=87B227B28103C5CCC4024F8E305E9366?id=1991MCG/DEM939-945:2,1.0,5.89,13,-188739,[None],,,['C(C)OC1CCCC1'],,,547,1.0
121,197.0,143.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=3AC666B562673649C7317C233B848694?id=2004CAV/FAS705-720:3,1.0,6.4,11,-74894,[None],,,[None],,,500,1.0
122,198.0,144.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=71977AEB53520EFE2A8FDD3ED299B1F3?id=2004CAV/FAS705-720:5,1.0,1.1,12,-94140,[None],,,[None],,,500,1.0
137,214.0,158.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=0C6705912919C26C94645A7D868E3BC9?id=1999FIS/EIS35-40:2,1.0,2,9,-139200,CH3In,,,(.)CH3,[None],,273,1.0
138,215.0,158.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=0C6705912919C26C94645A7D868E3BC9?id=1964JAC/PRI1198-1205:2,1.0,8.13,10,-162132,CH3In,,,(.)CH3,[None],,550,1.0
145,222.0,163.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=D35467B2E7A80157E34E1EFBC956A635?id=2003TOK/LIN11397-11408:7,1.0,4.61,11,-109914,2-(.)C6H4C2H3,,,[None],,,250,1.0
146,223.0,164.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=47D6F58E7D6D30F3D0484D102B9DDF5D?id=1990ALA/ALB2903-2910:7,1.0,1.02,12,-153818,['CC(C)(C)OC(=O)C1=COC=C1'],,,['C=C(C)C'],['O1C=C(C=C1)C(=O)O'],,561,1.0
147,224.0,165.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=C2434F0E366696B14FF3336649A220BB?id=1990ALA/ALB2903-2910:6,1.0,1.02,12,-152986,['CC(C)(C)OC(=O)C1=CSC=C1'],,,['S1C=C(C=C1)C(=O)O'],['C=C(C)C'],,560,1.0
148,225.0,166.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=8F9D66ED740051FEE747365E859D221B?id=1990ALA/ALB2911-2916:7,1.0,5.75,13,-194559,['CC(C)OC(=O)C1=COC=C1'],,,CH3CH=CH2,['O1C=C(C=C1)C(=O)O'],,643,1.0
163,241.0,173.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=B8A697BF88F24E402C37DC5BB344D9BA?id=1989GAJ/SQU6717-6728:15,1.0,4.63,-6,,['CC(C(=C)[C@H]1[C@@H](C1)C)(C)C'],,,['CC(C)(C)C1=CC[C@H](C1)C'],,,"553
 
K",1.0
164,242.0,173.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=B8A697BF88F24E402C37DC5BB344D9BA?id=1989GAJ/SQU6717-6728:16,1.0,5,-1,,['CC(C(=C)[C@H]1[C@@H](C1)C)(C)C'],,,['CC(C)(C)C1=CC[C@H](C1)C'],,,"553
 
K",1.0
167,247.0,178.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=036006660F1CA3AD1F7A1050A87B0EC4?id=1989GAJ/SQU6717-6728:12,1.0,2.1,-7,,[None],,,['CC1C(C=CC1)([2H])[2H]'],,,"553
 
K",1.0
169,250.0,181.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=78FB7E97E3ED1AF5CAFA5D6296FBAD8E?id=1989GAJ/SQU6717-6728:9,1.0,3.88,-6,,['CC(C(=C([2H])[2H])[C@H]1[C@@H](C1)C([2H])([2H])[2H])(C)C'],,,['CC(C)(C)C1=CCC(C1([2H])[2H])C([2H])([2H])[2H]'],,,"553
 
K",1.0
171,253.0,184.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=6E7AD3D2E8A0B5F8F48DA0D6FDE939A8?id=1989GAJ/SQU6717-6728:6,1.0,4.28,-6,,[None],,,[None],,,"553
 
K",1.0
180,264.0,192.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=074A0CBAA40C95C76525BF75DF059DB5?id=1989BET/CLA1292-1299:4,1.0,2,11,-172941,['C[Si]1(CC(=C(C1)C)C)C(C=C)C'],,,['C(\\C=C/C)[Si]1(CC(=C(C1)C)C)C'],,,704,1.0
181,265.0,193.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=771F257782FEB72EAA740CE659B54551?id=1989BET/CLA1292-1299:3,1.0,3.98,11,-176267,['C[Si]1(CC(=C(C1)C)C)C(C=C)C'],,,['C(\\C=C\\C)[Si]1(CC(=C(C1)C)C)C'],,,704,1.0
