ID,Pre-Exp Factor Coeff,Pre-Exp Factor Power,Activation Energy,Reactant 1,Reactant 2,Reactant 3,Product 1,Product 2,Product 3
8,2.47,13,-13012,[None],,,[None],,
18,1.16,12,-129118,[None],,,[None],,
19,1.27,13,-74517,[None],,,[None],,
26,1.84,9,-225099,['C(CC#CC)=O'],,,['CC=1OC=CC1'],,
33,3.16,14,-149660,[None],,,[None],[None],
35,6.87,13,-189911,[None],,,[None],,
59,6.31,10,-144672,[None],,,['C=C(C)C'],['FC1=CC=C(C=C1)SS'],
60,2.88,-13,-184581,[None],,,['C=C(C)C'],['[N+](=O)([O-])C1=CC=C(C=C1)SS'],
66,2.95,10,-27188,[None],,,[None],,
71,5.89,13,-188739,[None],,,['C(C)OC1CCCC1'],,
72,6.4,11,-74894,[None],,,[None],,
73,1.1,12,-94140,[None],,,[None],,
95,1.02,12,-153818,['CC(C)(C)OC(=O)C1=COC=C1'],,,['C=C(C)C'],['O1C=C(C=C1)C(=O)O'],
96,1.02,12,-152986,['CC(C)(C)OC(=O)C1=CSC=C1'],,,['S1C=C(C=C1)C(=O)O'],['C=C(C)C'],
117,2.0,11,-172941,['C[Si]1(CC(=C(C1)C)C)C(C=C)C'],,,['C(\\C=C/C)[Si]1(CC(=C(C1)C)C)C'],,
118,3.98,11,-176267,['C[Si]1(CC(=C(C1)C)C)C(C=C)C'],,,['C(\\C=C\\C)[Si]1(CC(=C(C1)C)C)C'],,
121,8.3,11,-70291,[None],,,[None],,
122,1.4,13,-126357,[None],,,[None],,
196,3.39,12,-185413,['C(=C)C1C(CC1)(C)C'],,,['CC1(CC=CCC1)C'],,
198,1.22,15,-199547,['C(=C)C1C(CC1)(C)C'],,,['C=CC=C'],['C=C(C)C'],
204,2.7,13,-169615,['CC(C)(OC1=NC=CC=N1)C'],,,['C=C(C)C'],['N1C(N=CC=C1)=O'],
224,2.75,14,-196222,[None],,,['C=C(C)C'],['ClC1=CC=C(C=C1)SS'],
282,2.08,-10,-78655,[None],,,[None],,
297,3.16,13,-251929,[None],,,[None],,
348,2.14,12,-161301,['CC(C)(OC1=NC=CC=C1)C'],,,['C=C(C)C'],['N1C(C=CC=C1)=O'],
375,2.0,12,-166200,['CC1=CC1C'],,,['C(C)C1=CC1'],,
376,1.95,12,-166289,['CC1=CC1C'],,,['C(C)C1=CC1'],,
388,7.76,12,-158806,['CC(C)(C)OC(=O)C1=CC=NC=C1'],,,['N1=CC=C(C=C1)C(=O)O'],['C=C(C)C'],
395,1.0,14,-193727,['C123CC=CCC1(CC2)CC3'],,,['C=C1CC=CCC(CC1)=C'],,
407,1.78,13,-138020,[None],,,[None],,
408,4.37,14,-188739,['C12CC=CCC(C=C1)CC2'],,,[None],,
409,4.17,14,-194559,['C12CC=CCC(C=C1)CC2'],,,[None],,
410,1.41,14,-193727,['C12CC=CCC(C=C1)CC2'],,,[None],,
411,5.25,15,-206199,['C12CC=CCC(C=C1)CC2'],,,['C=CC=C'],['C1=CC=CCC1'],
414,1.6,12,-216313,[None],,,[None],,
423,2.24,15,-181255,[None],,,[None],,
425,1.41,15,-186244,[None],,,[None],,
506,1.22,12,-5858,[None],,,['C1=CC1'],,
509,3.41,13,-174604,[None],,,['C=C(C)C'],['N1C(C=NC=C1)=O'],
518,1.48,13,-116403,[None],,,[None],[None],
519,3.39,13,-123054,[None],,,['CC1C(=C(C(=C1C)C)C)C'],['CC1=C(C(=C(C1=C)C)C)C'],
532,9.12,12,-161301,['ClC=1C=C(C=CC1)CC(=O)OC(C)(C)C'],,,['C=C(C)C'],['ClC=1C=C(C=CC1)CC(=O)O'],
533,1.05,13,-162964,['FC1=CC=C(C=C1)CC(=O)OC(C)(C)C'],,,['C=C(C)C'],['FC1=CC=C(C=C1)CC(=O)O'],
534,1.12,13,-176267,['C1(=CC=CC=C1)OC(OC(C)C1=CC=C(C=C1)[N+](=O)[O-])=O'],,,['C(=C)C1=CC=C(C=C1)[N+](=O)[O-]'],['C1(=CC=CC=C1)OC(O)=O'],
