original_reactions,updated_reaction,mechanistic_class,mechanistic_label,data_source
O=C(OCc1ccccc1)[NH:1][CH2:2][CH2:3][CH2:4][CH2:5][C@@H:6]([C:7]([O:8][CH3:9])=[O:10])[NH:11][C:12](=[O:13])[NH:14][c:15]1[cH:16][c:17]([O:18][CH3:19])[cH:20][c:21]([C:22]([CH3:23])([CH3:24])[CH3:25])[c:26]1[OH:27]>>[NH2:1][CH2:2][CH2:3][CH2:4][CH2:5][C@@H:6]([C:7]([O:8][CH3:9])=[O:10])[NH:11][C:12](=[O:13])[NH:14][c:15]1[cH:16][c:17]([O:18][CH3:19])[cH:20][c:21]([C:22]([CH3:23])([CH3:24])[CH3:25])[c:26]1[OH:27],[O:201]=[C:101]([O:202][CH2:203][c:204]1[cH:205][cH:206][cH:207][cH:208][cH:209]1)[NH:1][CH2:2][CH2:3][CH2:4][CH2:5][C@@H:6]([C:7]([O:8][CH3:9])=[O:10])[NH:11][C:12](=[O:13])[NH:14][c:15]1[cH:16][c:17]([O:18][CH3:19])[cH:20][c:21]([C:22]([CH3:23])([CH3:24])[CH3:25])[c:26]1[OH:27].[BrH:301]>>[NH2:1][CH2:2][CH2:3][CH2:4][CH2:5][C@@H:6]([C:7]([O:8][CH3:9])=[O:10])[NH:11][C:12](=[O:13])[NH:14][c:15]1[cH:16][c:17]([O:18][CH3:19])[cH:20][c:21]([C:22]([CH3:23])([CH3:24])[CH3:25])[c:26]1[OH:27],Cbz_deprotection,"[(201, 301.1), ([301.1, 301], 301), (301, 203), ([203, 202], [202, 101]), ([101, 201], 201), (1, 201.1), ([201.1, 201], 201), (201, [201, 101]), ([101, 1], 1)]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
O[C:1](=[O:2])[c:3]1[cH:4][c:5]([N+:6](=[O:7])[O-:8])[c:9]([S:10][c:11]2[c:12]([Cl:13])[cH:14][n:15][cH:16][c:17]2[Cl:18])[s:19]1.[NH2:20][c:21]1[cH:22][cH:23][cH:24][c:25]2[cH:26][n:27][cH:28][cH:29][c:30]12>>[C:1](=[O:2])([c:3]1[cH:4][c:5]([N+:6](=[O:7])[O-:8])[c:9]([S:10][c:11]2[c:12]([Cl:13])[cH:14][n:15][cH:16][c:17]2[Cl:18])[s:19]1)[NH:20][c:21]1[cH:22][cH:23][cH:24][c:25]2[cH:26][n:27][cH:28][cH:29][c:30]12,[OH:101][C:1](=[O:2])[c:3]1[cH:4][c:5]([N+:6](=[O:7])[OH:8])[c:9]([S:10][c:11]2[c:12]([Cl:13])[cH:14][n:15][cH:16][c:17]2[Cl:18])[s:19]1.[NH2:20][c:21]1[cH:22][cH:23][cH:24][c:25]2[cH:26][n:27][cH:28][cH:29][c:30]12.[N:301](=[C:302]=[N:303]C1CCCCC1)C2CCCCC2>>[C:1](=[O:2])([c:3]1[cH:4][c:5]([N+:6](=[O:7])[OH:8])[c:9]([S:10][c:11]2[c:12]([Cl:13])[cH:14][n:15][cH:16][c:17]2[Cl:18])[s:19]1)[NH:20][c:21]1[cH:22][cH:23][cH:24][c:25]2[cH:26][n:27][cH:28][cH:29][c:30]12,DCC_condensation,"[(301, 101.1), ([101.1, 101], 101), (101, 302), ([302, 301], 301), (20, 1), ([1, 2], 2), (303, 20.1), ([20.1, 20], 20), (2, [2, 1]), ([1, 101], 101), (101, [101, 302]), ([302, 303], 303)]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
O=[CH:1][c:2]1[cH:3][cH:4][c:5](-[c:6]2[n:7][c:8]([CH3:9])[c:10]([CH2:11][O:12][c:13]3[cH:14][cH:15][c:16]([C@H:17]([CH2:18][C:19](=[O:20])[N:21]4[C:22](=[O:23])[O:24][CH2:25][C@@H:26]4[CH2:27][c:28]4[cH:29][cH:30][cH:31][cH:32][cH:33]4)[c:34]4[cH:35][cH:36][o:37][n:38]4)[cH:39][cH:40]3)[s:41]2)[cH:42][cH:43]1.[CH3:48][CH2:47][NH:46][CH2:45][CH3:44]>>[CH2:1]([c:2]1[cH:3][cH:4][c:5](-[c:6]2[n:7][c:8]([CH3:9])[c:10]([CH2:11][O:12][c:13]3[cH:14][cH:15][c:16]([C@H:17]([CH2:18][C:19](=[O:20])[N:21]4[C:22](=[O:23])[O:24][CH2:25][C@@H:26]4[CH2:27][c:28]4[cH:29][cH:30][cH:31][cH:32][cH:33]4)[c:34]4[cH:35][cH:36][o:37][n:38]4)[cH:39][cH:40]3)[s:41]2)[cH:42][cH:43]1)[N:46]([CH2:45][CH3:44])[CH2:47][CH3:48],[O:101]=[CH:1][c:2]1[cH:3][cH:4][c:5](-[c:6]2[n:7][c:8]([CH3:9])[c:10]([CH2:11][O:12][c:13]3[cH:14][cH:15][c:16]([C@H:17]([CH2:18][C:19](=[O:20])[N:21]4[C:22](=[O:23])[O:24][CH2:25][C@@H:26]4[CH2:27][c:28]4[cH:29][cH:30][cH:31][cH:32][cH:33]4)[c:34]4[cH:35][cH:36][o:37][n:38]4)[cH:39][cH:40]3)[s:41]2)[cH:42][cH:43]1.[CH3:44][CH2:45][NH:46][CH2:47][CH3:48].[H+:301].[BH3-:302]C#N.[Na+]>>[CH2:1]([c:2]1[cH:3][cH:4][c:5](-[c:6]2[n:7][c:8]([CH3:9])[c:10]([CH2:11][O:12][c:13]3[cH:14][cH:15][c:16]([C@H:17]([CH2:18][C:19](=[O:20])[N:21]4[C:22](=[O:23])[O:24][CH2:25][C@@H:26]4[CH2:27][c:28]4[cH:29][cH:30][cH:31][cH:32][cH:33]4)[c:34]4[cH:35][cH:36][o:37][n:38]4)[cH:39][cH:40]3)[s:41]2)[cH:42][cH:43]1)[N:46]([CH2:45][CH3:44])[CH2:47][CH3:48],reductive_amination,"[(46, 1), ([1, 101], 301), (101, 46.1), ([46.1, 46], 46), (46, [46, 1]), ([1, 101], 101), ([302, 302.1], 1), ([1, 46], 46)]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
O=[C:1]([CH2:2][F:3])[CH2:4][F:5].[CH3:6][C:7]1([CH3:8])[CH2:9][CH2:10][C:11]([CH2:12][N:13]2[CH2:14][CH2:15][N:16]([c:17]3[cH:18][cH:19][c:20]([C:21](=[O:22])[NH:23][S:24](=[O:25])(=[O:26])[c:27]4[cH:28][cH:29][c:30]([NH:31][CH2:32][CH:33]5[CH2:34][NH:35][CH2:36]5)[c:37]([N+:38](=[O:39])[O-:40])[cH:41]4)[c:42]([O:43][c:44]4[cH:45][n:46][c:47]5[nH:48][cH:49][cH:50][c:51]5[cH:52]4)[cH:53]3)[CH2:54][CH2:55]2)=[C:56]([c:57]2[cH:58][cH:59][c:60]([Cl:61])[cH:62][cH:63]2)[CH2:64]1>>[CH:1]([CH2:2][F:3])([CH2:4][F:5])[N:35]1[CH2:34][CH:33]([CH2:32][NH:31][c:30]2[cH:29][cH:28][c:27]([S:24]([NH:23][C:21]([c:20]3[cH:19][cH:18][c:17]([N:16]4[CH2:15][CH2:14][N:13]([CH2:12][C:11]5=[C:56]([c:57]6[cH:58][cH:59][c:60]([Cl:61])[cH:62][cH:63]6)[CH2:64][C:7]([CH3:6])([CH3:8])[CH2:9][CH2:10]5)[CH2:55][CH2:54]4)[cH:53][c:42]3[O:43][c:44]3[cH:45][n:46][c:47]4[nH:48][cH:49][cH:50][c:51]4[cH:52]3)=[O:22])(=[O:25])=[O:26])[cH:41][c:37]2[N+:38](=[O:39])[O-:40])[CH2:36]1,[CH3:6][C:7]1([CH3:8])[CH2:9][CH2:10][C:11]([CH2:12][N:13]2[CH2:14][CH2:15][N:16]([c:17]3[cH:18][cH:19][c:20]([C:21](=[O:22])[NH:23][S:24](=[O:25])(=[O:26])[c:27]4[cH:28][cH:29][c:30]([NH:31][CH2:32][CH:33]5[CH2:34][NH:35][CH2:36]5)[c:37]([N+:38](=[O:39])[OH:40])[cH:41]4)[c:42]([O:43][c:44]4[cH:45][n:46][c:47]5[nH:48][cH:49][cH:50][c:51]5[cH:52]4)[cH:53]3)[CH2:54][CH2:55]2)=[C:56]([c:57]2[cH:58][cH:59][c:60]([Cl:61])[cH:62][cH:63]2)[CH2:64]1.[O:101]=[C:1]([CH2:2][F:3])[CH2:4][F:5].[H+:301].[BH3-:302]C#N.[Na+]>>[CH:1]([CH2:2][F:3])([CH2:4][F:5])[N:35]1[CH2:34][CH:33]([CH2:32][NH:31][c:30]2[cH:29][cH:28][c:27]([S:24]([NH:23][C:21]([c:20]3[cH:19][cH:18][c:17]([N:16]4[CH2:15][CH2:14][N:13]([CH2:12][C:11]5=[C:56]([c:57]6[cH:58][cH:59][c:60]([Cl:61])[cH:62][cH:63]6)[CH2:64][C:7]([CH3:6])([CH3:8])[CH2:9][CH2:10]5)[CH2:55][CH2:54]4)[cH:53][c:42]3[O:43][c:44]3[cH:45][n:46][c:47]4[nH:48][cH:49][cH:50][c:51]4[cH:52]3)=[O:22])(=[O:25])=[O:26])[cH:41][c:37]2[N+:38](=[O:39])[OH:40])[CH2:36]1,reductive_amination,"[(35, 1), ([1, 101], 301), (101, 35.1), ([35.1, 35], 35), (35, [35, 1]), ([1, 101], 101), ([302, 302.1], 1), ([1, 35], 35)]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
Cl[C:1](=[O:2])[O:3][CH:4]1[CH2:8][CH2:7][CH2:6][CH2:5]1.[CH3:9][CH2:10][O:11][c:12]1[cH:13][cH:14][c:15]([O:16][c:17]2[n:18][cH:19][n:20][c:21]3[c:22]2[cH:23][n:24][n:25]3[CH:26]2[CH2:31][CH2:30][NH:29][CH2:28][CH2:27]2)[c:32]([F:33])[cH:34]1>>[C:1](=[O:2])([O:3][CH:4]1[CH2:5][CH2:6][CH2:7][CH2:8]1)[N:29]1[CH2:28][CH2:27][CH:26]([n:25]2[c:21]3[n:20][cH:19][n:18][c:17]([O:16][c:15]4[cH:14][cH:13][c:12]([O:11][CH2:10][CH3:9])[cH:34][c:32]4[F:33])[c:22]3[cH:23][n:24]2)[CH2:31][CH2:30]1,[CH3:9][CH2:10][O:11][c:12]1[cH:13][cH:14][c:15]([O:16][c:17]2[n:18][cH:19][n:20][c:21]3[c:22]2[cH:23][n:24][n:25]3[CH:26]2[CH2:27][CH2:28][NH:29][CH2:30][CH2:31]2)[c:32]([F:33])[cH:34]1.[Cl:101][C:1](=[O:2])[O:3][CH:4]1[CH2:5][CH2:6][CH2:7][CH2:8]1>>[C:1](=[O:2])([O:3][CH:4]1[CH2:5][CH2:6][CH2:7][CH2:8]1)[N:29]1[CH2:28][CH2:27][CH:26]([n:25]2[c:21]3[n:20][cH:19][n:18][c:17]([O:16][c:15]4[cH:14][cH:13][c:12]([O:11][CH2:10][CH3:9])[cH:34][c:32]4[F:33])[c:22]3[cH:23][n:24]2)[CH2:31][CH2:30]1,nucleophilic_attack_to_(thio)carbonyl_or_sulfonyl,"[(29, 1), ([1, 2], 2), (2, [2, 1]), ([1, 101], 101)]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([C:7](=[O:8])[CH2:9][c:10]2[c:11]([Cl:12])[cH:13][n+:14]([O-:15])[cH:16][c:17]2[Cl:18])[c:19]2[c:20]1[O:21][C:22]1([CH2:23][CH2:24][CH2:25][CH2:26]1)[O:27]2>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH:7]([OH:8])[CH2:9][c:10]2[c:11]([Cl:12])[cH:13][n+:14]([O-:15])[cH:16][c:17]2[Cl:18])[c:19]2[c:20]1[O:21][C:22]1([CH2:23][CH2:24][CH2:25][CH2:26]1)[O:27]2,[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([C:7](=[O:8])[CH2:9][c:10]2[c:11]([Cl:12])[cH:13][n+:14]([OH:15])[cH:16][c:17]2[Cl:18])[c:19]2[c:20]1[O:21][C:22]1([CH2:23][CH2:24][CH2:25][CH2:26]1)[O:27]2.[BH4-:301].[CH3][OH1:302]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH:7]([OH:8])[CH2:9][c:10]2[c:11]([Cl:12])[cH:13][n+:14]([OH:15])[cH:16][c:17]2[Cl:18])[c:19]2[c:20]1[O:21][C:22]1([CH2:23][CH2:24][CH2:25][CH2:26]1)[O:27]2,carbonyl_reduction,"[([301, 301.1], 7), ([7, 8], 8), (8, 302.1), ([302.1, 302], 302)]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
O[C:1](=[O:2])[c:3]1[cH:4][cH:5][c:6]([Br:7])[cH:8][c:9]1[Cl:10].[CH3:11][C:12]([CH3:13])([CH3:14])[O:15][C:16](=[O:17])[NH:18][NH2:19]>>[C:1](=[O:2])([c:3]1[cH:4][cH:5][c:6]([Br:7])[cH:8][c:9]1[Cl:10])[NH:19][NH:18][C:16]([O:15][C:12]([CH3:11])([CH3:13])[CH3:14])=[O:17],[OH:101][C:1](=[O:2])[c:3]1[cH:4][cH:5][c:6]([Br:7])[cH:8][c:9]1[Cl:10].[CH3:11][C:12]([CH3:13])([CH3:14])[O:15][C:16](=[O:17])[NH:18][NH2:19].[N:301](=[C:302]=[N:303]C1CCCCC1)C2CCCCC2>>[C:1](=[O:2])([c:3]1[cH:4][cH:5][c:6]([Br:7])[cH:8][c:9]1[Cl:10])[NH:19][NH:18][C:16]([O:15][C:12]([CH3:11])([CH3:13])[CH3:14])=[O:17],DCC_condensation,"[(301, 101.1), ([101.1, 101], 101), (101, 302), ([302, 301], 301), (19, 1), ([1, 2], 2), (303, 19.1), ([19.1, 19], 19), (2, [2, 1]), ([1, 101], 101), (101, [101, 302]), ([302, 303], 303)]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
Br[CH2:1][c:2]1[n:3][c:4]2[c:5]([NH2:6])[n:7][cH:8][n:9][c:10]2[n:11]1[CH2:12][CH2:13][c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1.[CH3:20][CH2:21][O:22][P:23](=[O:24])([CH2:25][OH:26])[O:27][CH2:28][CH3:29]>>[CH2:1]([c:2]1[n:3][c:4]2[c:5]([NH2:6])[n:7][cH:8][n:9][c:10]2[n:11]1[CH2:12][CH2:13][c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1)[O:26][CH2:25][P:23]([O:22][CH2:21][CH3:20])(=[O:24])[O:27][CH2:28][CH3:29],[Br:101][CH2:1][c:2]1[n:3][c:4]2[c:5]([NH2:6])[n:7][cH:8][n:9][c:10]2[n:11]1[CH2:12][CH2:13][c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1.[CH3:20][CH2:21][O:22][P:23](=[O:24])([CH2:25][OH:26])[O:27][CH2:28][CH3:29].[H-:301].[Na+]>>[CH2:1]([c:2]1[n:3][c:4]2[c:5]([NH2:6])[n:7][cH:8][n:9][c:10]2[n:11]1[CH2:12][CH2:13][c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1)[O:26][CH2:25][P:23]([O:22][CH2:21][CH3:20])(=[O:24])[O:27][CH2:28][CH3:29],SN2_alcohol(thiol),"[(301, 26.1), ([26.1, 26], 26), (26, 1), ([1, 101], 101)]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
O[C:1]([C@H:2]([CH:3]([CH3:4])[CH3:5])[NH:6][C:7](=[O:8])[CH2:9][NH:10][C:11](=[O:12])[C@@H:13]1[CH2:14][CH2:15][CH2:16][N:17]1[C:18](=[O:19])[C@@H:20]([NH:21][C:22](=[O:23])[O:24][CH2:25][c:26]1[cH:27][cH:28][cH:29][cH:30][cH:31]1)[CH:32]([CH3:33])[CH3:34])=[O:35].[CH3:36][O:37][C:38](=[O:39])[CH2:40][NH2:41]>>[C:1]([C@H:2]([CH:3]([CH3:4])[CH3:5])[NH:6][C:7](=[O:8])[CH2:9][NH:10][C:11](=[O:12])[C@@H:13]1[CH2:14][CH2:15][CH2:16][N:17]1[C:18](=[O:19])[C@@H:20]([NH:21][C:22](=[O:23])[O:24][CH2:25][c:26]1[cH:27][cH:28][cH:29][cH:30][cH:31]1)[CH:32]([CH3:33])[CH3:34])(=[O:35])[NH:41][CH2:40][C:38]([O:37][CH3:36])=[O:39],[OH:101][C:1]([C@H:2]([CH:3]([CH3:4])[CH3:5])[NH:6][C:7](=[O:8])[CH2:9][NH:10][C:11](=[O:12])[C@@H:13]1[CH2:14][CH2:15][CH2:16][N:17]1[C:18](=[O:19])[C@@H:20]([NH:21][C:22](=[O:23])[O:24][CH2:25][c:26]1[cH:27][cH:28][cH:29][cH:30][cH:31]1)[CH:32]([CH3:33])[CH3:34])=[O:35].[CH3:36][O:37][C:38](=[O:39])[CH2:40][NH2:41].[N:301](=[C:302]=[N:303]C1CCCCC1)C2CCCCC2>>[C:1]([C@H:2]([CH:3]([CH3:4])[CH3:5])[NH:6][C:7](=[O:8])[CH2:9][NH:10][C:11](=[O:12])[C@@H:13]1[CH2:14][CH2:15][CH2:16][N:17]1[C:18](=[O:19])[C@@H:20]([NH:21][C:22](=[O:23])[O:24][CH2:25][c:26]1[cH:27][cH:28][cH:29][cH:30][cH:31]1)[CH:32]([CH3:33])[CH3:34])(=[O:35])[NH:41][CH2:40][C:38]([O:37][CH3:36])=[O:39],DCC_condensation,"[(301, 101.1), ([101.1, 101], 101), (101, 302), ([302, 301], 301), (41, 1), ([1, 35], 35), (303, 41.1), ([41.1, 41], 41), (35, [35, 1]), ([1, 101], 101), (101, [101, 302]), ([302, 303], 303)]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
O=[CH:1][c:2]1[cH:3][nH:4][cH:5][n:6]1.[NH2:7][CH:8]1[CH2:9][CH2:10][N:11]([CH2:12][c:13]2[cH:14][cH:15][cH:16][cH:17][cH:18]2)[CH2:19][CH2:20]1>>[CH2:1]([c:2]1[cH:3][nH:4][cH:5][n:6]1)[NH:7][CH:8]1[CH2:9][CH2:10][N:11]([CH2:12][c:13]2[cH:14][cH:15][cH:16][cH:17][cH:18]2)[CH2:19][CH2:20]1,[NH2:7][CH:8]1[CH2:9][CH2:10][N:11]([CH2:12][c:13]2[cH:14][cH:15][cH:16][cH:17][cH:18]2)[CH2:19][CH2:20]1.[O:101]=[CH:1][c:2]1[cH:3][nH:4][cH:5][n:6]1.[H+:301].[BH3-:302]C#N.[Na+]>>[CH2:1]([c:2]1[cH:3][nH:4][cH:5][n:6]1)[NH:7][CH:8]1[CH2:9][CH2:10][N:11]([CH2:12][c:13]2[cH:14][cH:15][cH:16][cH:17][cH:18]2)[CH2:19][CH2:20]1,reductive_amination,"[(7, 1), ([1, 101], 301), (101, 7.1), ([7.1, 7], 7), (7, [7, 1]), ([1, 101], 101), ([302, 302.1], 1), ([1, 7], 7)]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
